T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
0.59;0.004107808;-0.005464322;-0.001402025
0.595;0.004462132;-0.005554788;0.005450427
0.6;0.004832385;-0.004220382;0.008894232
0.605;0.00558523;-0.00176442;0.007480918
0.61;0.006654514;0.001049362;0.002086064
0.615;0.007953249;0.002838814;-0.00452206
0.62;0.009344379;0.002832315;-0.009046926
0.625;0.01041138;0.001702883;-0.010119399
0.63;0.010386845;0.000255605;-0.009045931
0.635;0.008470667;-0.001470203;-0.007860625
0.64;0.004641322;-0.0030966;-0.007575764
0.645;-0.000005299;-0.003562877;-0.008326005
0.65;-0.00400374;-0.002357418;-0.0103284
0.655;-0.00670385;-0.000087062;-0.013299711
0.66;-0.00868794;0.002478652;-0.015370194
0.665;-0.010760562;0.005132607;-0.014677354
0.67;-0.013197428;0.007609224;-0.011284391
0.675;-0.016138124;0.009240638;-0.006420986
0.68;-0.019267984;0.009366405;-0.001386516
0.685;-0.021165278;0.007663056;0.0024102
0.69;-0.020317792;0.0047727;0.003606979
0.695;-0.016779965;0.002466481;0.001962106
0.7;-0.012091973;0.002147225;-0.00087336
0.705;-0.007790421;0.003289362;-0.002657405
0.71;-0.004575171;0.004217308;-0.002728459
0.715;-0.002609451;0.004201511;-0.002264307
0.72;-0.002412119;0.003735001;-0.002415798
0.725;-0.0050048;0.003191539;-0.002912667
0.73;-0.010157058;0.002380038;-0.00284549
0.735;-0.015264584;0.001192632;-0.001971433
0.74;-0.017332498;0.000128516;-0.000982851
0.745;-0.015833442;-0.00005678;-0.000922091
0.75;-0.013011138;0.000618047;-0.002235428
0.755;-0.01113747;0.001130672;-0.004328808
0.76;-0.010118183;0.000626784;-0.005853012
0.765;-0.008638852;-0.000587408;-0.005440591
0.77;-0.00654277;-0.001606569;-0.002576875
0.775;-0.004672826;-0.001955604;0.002021556
0.78;-0.003270156;-0.00131117;0.006475911
0.785;-0.001797802;0.000988703;0.008684519
0.79;0.000252976;0.004922027;0.008189275
0.795;0.003108799;0.009053499;0.006400576
0.8;0.006563648;0.011627513;0.004637433
0.805;0.009711727;0.011755437;0.002917333
0.81;0.011146992;0.009757891;0.000434848
0.815;0.009659154;0.006979077;-0.003091807
0.82;0.005341898;0.004771259;-0.006273998
0.825;-0.000181949;0.003319509;-0.007067514
0.83;-0.005268188;0.001841982;-0.005205481
0.835;-0.009212917;0.000027718;-0.002629866
0.84;-0.011743824;-0.001145561;-0.00130782
0.845;-0.013044723;-0.000339022;-0.001175369
0.85;-0.01394781;0.002491795;-0.000634853
