T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
0.605;0.001930898;-0.001306675;-0.001037269
0.61;0.00213395;-0.000246668;-0.001338
0.615;0.001373953;0.000391322;-0.001454129
0.62;0.000428513;0.000499174;-0.001120434
0.625;-0.000114014;0.000391211;-0.000191825
0.63;-0.000148569;0.000160771;0.000894327
0.635;0.000377442;-0.000308063;0.001311892
0.64;0.001166181;-0.000865315;0.000611497
0.645;0.001829612;-0.001225063;-0.000824152
0.65;0.00203953;-0.001143025;-0.002044809
0.655;0.001570238;-0.000423985;-0.002249477
0.66;0.00085475;0.000661759;-0.001410333
0.665;0.000363535;0.001397398;-0.000209579
0.67;0.000157605;0.001411298;0.000656386
0.675;0.000483616;0.000980195;0.000958118
0.68;0.001154135;0.000489902;0.00075941
0.685;0.001420921;0.000009845;0.000123409
0.69;0.001064046;-0.000417875;-0.000866266
0.695;0.000234823;-0.000520283;-0.001978485
0.7;-0.000768004;-0.000216829;-0.002763555
0.705;-0.001301312;0.000299338;-0.002666015
0.71;-0.001021103;0.000986626;-0.001578747
0.715;-0.000158161;0.001724662;-0.000257376
0.72;0.000735424;0.002077524;0.000264581
0.725;0.001158829;0.001884738;-0.000309889
0.73;0.001340224;0.001608525;-0.001208647
0.735;0.001757358;0.001786776;-0.001219276
0.74;0.002167597;0.002438726;0.000192181
0.745;0.002116691;0.003167682;0.002329501
0.75;0.001427637;0.00344987;0.003826187
0.755;0.000035551;0.002772545;0.003672888
0.76;-0.001532642;0.001172432;0.0019687
0.765;-0.002294677;-0.000444914;-0.000110127
0.77;-0.001944702;-0.001164492;-0.0013175
0.775;-0.000913953;-0.000983005;-0.001350281
0.78;0.000148881;-0.000489641;-0.000790838
0.785;0.000547049;-0.000123264;-0.000359619
0.79;0.000225856;-0.000002957;-0.00026583
0.795;-0.000154405;0.00007276;-0.000096641
0.8;-0.000102377;0.000472662;0.000528618
0.805;0.000644666;0.001176872;0.001379227
0.81;0.001893231;0.001722374;0.002000157
0.815;0.002631456;0.001723578;0.002250899
0.82;0.002267869;0.001015829;0.002172712
0.825;0.001176193;-0.000261142;0.001788401
0.83;-0.000155316;-0.001509143;0.001144907
0.835;-0.001151843;-0.002139036;0.000298091
0.84;-0.001402846;-0.002056353;-0.000616681
0.845;-0.001107936;-0.001555537;-0.001347705
0.85;-0.000514881;-0.001018725;-0.001739503
0.855;0.000121857;-0.000549413;-0.001756369
0.86;0.000479758;-0.000058291;-0.001356029
0.865;0.000553086;0.00025702;-0.000625483
0.87;0.000254735;0.000267353;0.000165271
