T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
0.6;0.008078176;0.006290027;-0.000605317
0.605;0.003926658;-0.00099217;0.000304452
0.61;-0.000763332;-0.007119619;0.000243998
0.615;-0.004920287;-0.009775666;-0.00124541
0.62;-0.007196404;-0.009441984;-0.003336112
0.625;-0.006564326;-0.007557013;-0.004146644
0.63;-0.004114327;-0.004377363;-0.002495395
0.635;-0.002420298;0.000256831;0.000689389
0.64;-0.002652583;0.005476655;0.003049068
0.645;-0.003451028;0.009936705;0.003210532
0.65;-0.002493686;0.012591907;0.001830819
0.655;0.001455282;0.013010184;-0.000218444
0.66;0.007964931;0.012019312;-0.002485936
0.665;0.014877823;0.011026222;-0.003135621
0.67;0.018556523;0.010340457;0.000174088
0.675;0.016715115;0.00926915;0.006798525
0.68;0.010629226;0.007278147;0.012846003
0.685;0.003205644;0.004688039;0.014833765
0.69;-0.002683842;0.002240636;0.012571439
0.695;-0.004732571;-0.000382772;0.008551318
0.7;-0.002909861;-0.00394105;0.005260163
0.705;0.001002126;-0.007380534;0.00308113
0.71;0.005569615;-0.008238488;0.000813631
0.715;0.009375541;-0.005200309;-0.001930097
0.72;0.010235366;0.000456796;-0.004086647
0.725;0.006969923;0.005915567;-0.004648088
0.73;0.001622541;0.009202378;-0.003119996
0.735;-0.001928743;0.010143316;0.000730244
0.74;-0.001809238;0.009103007;0.005994836
0.745;0.00112025;0.006694882;0.010559536
0.75;0.005015084;0.004737631;0.012734081
0.755;0.007626142;0.004337635;0.012292716
0.76;0.006870694;0.003992724;0.010416746
0.765;0.001987295;0.001615174;0.008899751
0.77;-0.005375984;-0.002770089;0.008354976
0.775;-0.011151558;-0.006187795;0.007331073
0.78;-0.012288287;-0.005558394;0.004274445
0.785;-0.009779688;-0.001523949;0.000035796
0.79;-0.006531729;0.00247896;-0.002725977
0.795;-0.004532614;0.00373577;-0.002466156
0.8;-0.004479936;0.002393747;-0.000361727
0.805;-0.005647499;0.000952761;0.000826753
0.81;-0.006195428;0.001622786;-0.000674736
0.815;-0.004673799;0.004451785;-0.004044156
0.82;-0.00148862;0.007451305;-0.006800117
0.825;0.001398585;0.008167542;-0.007504273
0.83;0.002595612;0.005765596;-0.007005529
0.835;0.002332051;0.001874962;-0.006628836
0.84;0.001602123;-0.001200326;-0.006603378
0.845;0.001319998;-0.002503944;-0.006716442
0.85;0.001472508;-0.002181136;-0.007104357
0.855;0.00138086;-0.001074513;-0.007774713
0.86;0.001721164;-0.000518145;-0.007712872
0.865;0.004018605;-0.001376204;-0.00592818
0.87;0.007936932;-0.003234544;-0.003527601
0.875;0.011598996;-0.004604423;-0.002744566
0.88;0.013741693;-0.004631133;-0.003984217
0.885;0.014333373;-0.003798558;-0.005284665
0.89;0.014157445;-0.00238442;-0.004454448
0.895;0.014009292;-0.00045841;-0.001014526
0.9;0.013831166;0.000284699;0.00356586
0.905;0.012764857;-0.002301126;0.006758352
0.91;0.010237017;-0.007607769;0.006491498
0.915;0.006820004;-0.012813919;0.003068606
0.92;0.003919677;-0.015852072;-0.000597674
0.925;0.002631748;-0.016608681;-0.001957197
0.93;0.002527868;-0.016433631;-0.001379711
0.935;0.00224839;-0.016632549;-0.000943476
0.94;0.001914261;-0.016790236;-0.002059612
0.945;0.002855418;-0.014859978;-0.004624891
0.95;0.004947096;-0.009507931;-0.007511791
0.955;0.006784781;-0.002054963;-0.009675404
0.96;0.007313922;0.004448464;-0.010524796
0.965;0.006026282;0.007849796;-0.00954735
0.97;0.003030038;0.008245671;-0.006647491
0.975;-0.000818278;0.007274172;-0.002671127
0.98;-0.003813146;0.006724217;0.00092302
0.985;-0.004039248;0.006961217;0.002861369
0.99;-0.001538801;0.007068493;0.003009595
0.995;0.001108056;0.00678307;0.002703589
1;0.001282413;0.006407414;0.003588098
1.005;-0.001198758;0.00569022;0.006005881
1.01;-0.004130155;0.004002588;0.008821668
1.015;-0.005188441;0.00075953;0.010800852
1.02;-0.003965256;-0.003851444;0.011556611
1.025;-0.002073963;-0.008229521;0.011137888
1.03;-0.001420487;-0.010471779;0.009554388
1.035;-0.001713454;-0.010336978;0.006932795
1.04;-0.000975239;-0.008956531;0.003765192
1.045;0.000994205;-0.007149908;0.000783898
1.05;0.002735729;-0.005424074;-0.001444743
1.055;0.003765318;-0.004538407;-0.002451371
1.06;0.00394417;-0.004712868;-0.00128963
1.065;0.003006748;-0.004938498;0.002781035
1.07;0.002250129;-0.004549726;0.008355745
1.075;0.003661026;-0.004023184;0.012082243
1.08;0.007271408;-0.003342392;0.011474696
1.085;0.010781936;-0.002440971;0.006685812
1.09;0.011680238;-0.001941609;0.000003098
1.095;0.009643218;-0.001578593;-0.005660236
1.1;0.006526852;-0.000365047;-0.00858682
1.105;0.004254442;0.002060255;-0.009096294
1.11;0.003360128;0.005366444;-0.008273874
1.115;0.003441677;0.00847689;-0.006307254
1.12;0.004342978;0.009758476;-0.002840341
1.125;0.005706745;0.008141018;0.001450613
1.13;0.006304176;0.003822093;0.004699899
1.135;0.005586884;-0.002122245;0.005551009
1.14;0.004327035;-0.008522905;0.004092202
1.145;0.003291545;-0.014286019;0.00084595
1.15;0.003002695;-0.018022893;-0.003572918
1.155;0.003577686;-0.018766823;-0.007653541
1.16;0.004065752;-0.016786981;-0.009692358
1.165;0.003329876;-0.012763343;-0.009457996
1.17;0.001162701;-0.007404633;-0.008132049
1.175;-0.001514398;-0.002053958;-0.006862773
1.18;-0.002985898;0.001709953;-0.006198607
1.185;-0.002236114;0.002979387;-0.006340352
1.19;0.000257099;0.001621005;-0.006987195
1.195;0.003395586;-0.001911111;-0.007327233
1.2;0.005800395;-0.006429022;-0.006392334
1.205;0.006233033;-0.010164574;-0.003778784
1.21;0.004576145;-0.01154133;-0.000940302
1.215;0.001894994;-0.00998328;-0.000809285
1.22;-0.000035929;-0.00650594;-0.00489252
1.225;0.000386504;-0.003320197;-0.011492652
1.23;0.003487881;-0.001868575;-0.017245829
1.235;0.007952965;-0.00148005;-0.019452797
1.24;0.01159325;-0.000604518;-0.017171158
1.245;0.013101189;0.001360688;-0.011972912
1.25;0.012603148;0.003975101;-0.007281112
1.255;0.010651181;0.006313424;-0.005211765
1.26;0.007950137;0.007061139;-0.005047399
1.265;0.00529151;0.00528242;-0.0052196
1.27;0.003403897;0.001332258;-0.004938784
1.275;0.002893033;-0.003553681;-0.004120145
